,MARC
0,2
1,2
2,2
3,2
4,2
5,1
6,1
7,1
8,1
9,2
10,1
11,1
12,2
13,1
14,2
15,2
16,1
17,1
18,1
19,2
20,1
21,2
22,2
23,2
24,2
25,1
26,1
27,1
28,1
29,1
30,2
31,2
32,1
33,2
34,1
35,1
36,1
37,1
38,1
39,2
40,1
41,1
42,1
43,1
44,1
45,2
46,1
47,2
48,1
49,1
50,1
51,1
52,1
53,1
54,2
55,2
56,1
57,1
58,2
59,2
60,1
61,1
62,1
63,1
64,2
65,1
66,1
67,1
68,2
69,1
70,1
71,2
72,1
73,2
74,2
75,2
76,2
77,2
78,2
79,1
80,2
81,1
82,1
83,2
84,2
85,1
86,1
87,1
88,1
89,2
90,1
91,1
92,2
93,2
94,2
95,2
96,1
97,2
98,1
99,1
100,2
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,2
110,2
111,1
112,1
113,2
114,2
115,2
116,2
117,1
118,1
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,1
134,1
135,2
136,1
137,2
138,1
139,2
140,1
141,1
142,1
143,1
144,2
145,2
146,1
147,1
148,2
149,2
150,1
151,1
152,1
153,2
154,1
155,1
156,1
157,2
158,2
159,2
160,2
161,1
162,2
163,2
164,2
165,2
166,1
167,2
168,2
169,2
170,2
171,2
172,2
173,1
174,1
175,2
176,1
177,2
178,1
179,1
180,2
181,1
182,2
183,2
184,2
185,1
186,1
187,1
188,1
189,2
190,2
191,2
192,1
193,2
194,2
195,1
196,2
197,1
198,1
199,2
200,1
201,2
202,2
203,1
204,2
205,1
206,2
207,1
208,2
209,1
210,1
211,1
212,1
213,1
214,2
215,1
216,1
217,1
218,2
219,1
220,1
221,2
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,2
230,1
231,2
232,1
233,1
234,2
235,1
236,2
237,2
238,1
239,2
240,1
241,2
242,2
243,1
244,2
245,2
246,2
247,2
248,2
249,1
250,1
251,2
252,1
253,2
254,1
255,2
256,1
257,1
258,1
259,1
260,2
261,2
262,1
263,2
264,2
265,2
266,2
267,1
268,2
269,1
270,2
271,2
272,2
273,2
274,1
275,2
276,2
277,1
278,1
279,2
280,2
281,1
282,2
283,1
284,2
285,1
286,2
287,2
288,1
289,2
290,1
291,2
292,2
293,2
294,2
295,2
296,2
297,2
298,2
299,2
300,2
301,2
302,2
303,2
304,2
305,2
306,1
307,1
308,2
309,1
310,2
311,2
312,1
313,2
314,2
315,2
316,2
317,2
318,2
319,2
320,2
321,1
322,1
323,2
324,2
325,2
326,1
327,1
328,2
329,1
330,1
331,2
332,1
333,1
334,1
335,1
336,1
337,1
338,2
339,1
340,1
341,1
342,2
343,2
344,1
345,2
346,2
347,1
348,1
349,2
350,2
351,2
352,2
353,1
354,1
355,2
356,1
357,1
358,1
359,2
360,2
361,2
362,2
363,2
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,2
380,2
381,1
382,1
383,1
384,1
385,2
386,2
387,1
388,1
389,1
390,1
391,1
392,2
393,1
394,2
395,2
396,1
397,1
398,2
399,2
400,2
401,2
402,2
403,2
404,2
405,2
406,2
407,2
408,2
409,1
410,2
411,2
412,1
413,1
414,1
415,1
416,1
417,1
418,2
419,1
420,1
421,1
422,1
423,2
424,2
425,1
426,1
427,1
428,1
429,2
430,1
431,1
432,2
433,1
434,2
435,2
436,1
437,1
438,2
439,1
440,1
441,2
442,2
443,1
444,1
445,2
446,1
447,2
448,2
449,2
450,1
451,2
452,2
453,1
454,2
455,2
456,2
457,2
458,2
459,2
460,2
461,2
462,2
463,1
464,1
465,1
466,2
467,1
468,1
469,2
470,2
471,2
472,1
473,2
474,1
475,2
476,2
477,1
478,1
479,1
480,1
481,1
482,1
483,2
484,2
485,1
486,2
487,1
488,2
489,2
490,1
491,1
492,2
493,2
494,2
495,2
496,1
497,2
498,1
499,2
500,2
501,2
502,2
503,2
504,2
505,2
506,2
507,2
508,2
509,2
510,1
511,2
512,1
513,2
514,1
515,1
516,1
517,2
518,2
519,1
520,1
521,1
522,1
523,2
524,2
525,2
526,1
527,1
528,1
529,1
530,2
531,1
532,2
533,1
534,1
535,1
536,1
537,1
538,2
539,1
540,1
541,2
542,2
543,1
544,2
545,1
546,1
