,SIZE,SEXA,PPLVTG,MMLVTG,SZFFOUT,INCSELF,INCPEN,INCUEB,INCIRR,INCRENT,SZINCOMA,XNUMSISE,XNUMBROY,TP5LOC15,PPJBXX15,PPJBSZ15,MMJBTP15,XXLSTSCH,PPLSTSCH,DOLSTSCH,XSPSCH
0,3,2,3,3,0,0,0,1,1,1,4,1,1,3,0,0,1,2,0,1,2
1,3,2,3,3,0,1,0,1,0,1,3,2,1,3,2,2,4,2,1,1,2
2,4,1,3,3,0,0,1,1,1,1,4,0,0,1,0,0,1,2,1,1,2
3,3,2,3,3,0,1,0,1,1,1,3,1,1,2,2,2,4,2,1,1,2
4,4,2,3,3,0,0,1,1,1,1,0,2,0,3,0,0,1,2,1,1,2
6,3,2,3,3,0,1,0,1,1,1,0,2,3,4,2,2,4,1,1,1,2
8,3,1,3,3,0,1,0,1,1,1,3,3,2,4,2,1,1,1,1,1,2
10,4,2,3,3,1,1,0,1,1,1,2,3,1,3,2,2,4,1,1,1,2
11,1,1,3,3,0,0,0,1,1,1,3,2,1,4,2,2,4,1,0,1,2
12,3,2,3,3,0,1,0,1,1,1,2,1,3,4,2,6,1,1,0,2,2
16,2,2,3,3,0,1,0,1,1,1,2,6,0,2,2,3,1,3,1,1,2
17,2,1,3,3,0,1,0,1,1,1,4,0,0,4,2,0,4,1,1,1,2
18,3,1,3,3,0,1,0,1,1,1,3,0,0,3,2,2,4,2,1,1,2
20,1,1,3,3,0,1,0,1,1,1,4,2,0,3,2,2,4,2,0,1,2
21,3,2,3,3,0,1,0,0,1,1,2,1,2,4,2,2,1,2,1,1,2
22,1,2,3,3,0,1,0,1,1,1,3,2,0,2,2,1,1,2,3,1,2
24,4,1,3,3,0,0,0,1,1,1,0,3,0,3,2,2,4,2,1,1,2
25,3,1,3,3,0,1,0,1,1,1,3,4,1,2,2,2,1,2,3,1,2
26,4,1,3,3,0,1,0,1,1,1,4,0,1,3,2,6,1,2,1,1,2
27,1,1,3,3,0,0,1,1,1,1,0,2,1,1,2,0,3,2,0,1,2
30,4,1,3,3,0,0,0,1,1,1,4,4,2,4,2,2,4,2,1,1,2
31,3,2,3,3,0,1,0,1,1,1,2,0,0,3,2,6,1,2,1,1,2
32,2,2,3,3,0,1,0,1,1,1,4,2,2,2,2,2,4,2,1,1,2
34,3,2,3,3,0,0,0,1,1,1,0,0,0,4,2,2,4,2,0,1,2
36,3,2,3,3,1,1,0,1,1,1,2,2,1,2,2,0,2,2,0,1,2
37,3,2,3,3,0,1,0,1,1,1,0,0,3,3,2,2,4,2,1,1,2
43,4,1,3,3,0,1,0,1,1,1,4,4,0,2,0,0,4,3,1,2,2
46,1,2,3,3,0,1,0,1,1,1,2,1,1,1,2,4,1,2,0,1,2
47,3,2,3,3,0,1,0,1,1,1,2,0,1,3,2,2,4,2,1,1,2
50,2,2,3,3,0,0,0,1,1,1,2,3,0,3,2,4,1,2,1,1,2
53,1,1,3,1,0,1,0,1,1,1,3,0,2,4,2,0,1,2,1,1,2
57,3,2,3,3,0,1,0,1,1,1,3,0,2,2,2,5,1,3,1,1,2
62,4,1,3,1,0,0,1,1,1,1,5,1,0,3,2,2,4,2,0,1,2
65,3,2,3,3,0,0,0,1,1,1,3,1,0,3,2,2,4,2,1,1,2
66,1,1,3,3,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
69,1,1,3,3,0,1,0,1,1,1,3,1,2,2,2,0,1,2,0,1,2
70,4,1,3,3,0,0,1,1,1,1,0,3,0,3,2,0,1,3,0,1,2
72,3,1,3,3,0,0,1,1,1,1,5,2,0,2,2,1,1,3,1,1,2
74,1,2,3,3,0,1,1,1,1,1,1,7,0,2,0,0,1,2,0,1,2
75,3,2,2,3,0,0,1,1,1,1,0,2,1,4,2,2,4,2,0,1,1
76,2,1,2,2,0,1,0,1,1,1,3,0,2,2,2,3,1,3,2,1,2
77,1,1,3,3,0,0,1,1,1,1,3,4,0,2,0,0,4,2,1,1,2
78,1,1,3,3,0,0,0,1,1,1,4,2,3,3,2,0,1,2,1,1,2
79,1,1,3,2,0,1,1,1,1,1,0,0,1,1,2,2,4,2,2,1,2
80,4,2,3,3,0,1,1,1,1,1,1,2,0,1,0,0,1,2,0,1,2
81,4,2,3,1,0,0,0,1,1,1,3,0,1,3,2,1,3,3,1,1,2
83,3,1,3,2,0,1,0,1,1,1,3,1,0,3,2,2,1,3,0,1,2
84,2,1,3,1,0,0,0,1,1,0,4,0,1,2,2,6,1,3,2,1,2
86,3,1,3,1,0,0,0,1,1,1,5,0,0,3,2,2,2,3,2,1,2
88,1,2,3,3,0,1,1,1,1,1,1,2,0,1,2,0,4,2,0,1,2
89,3,1,2,2,0,0,1,1,1,1,5,0,1,2,2,6,1,3,2,1,2
94,1,1,3,3,0,0,1,1,1,1,5,0,1,1,2,6,1,3,3,1,2
99,1,2,3,2,0,0,1,1,1,1,0,0,2,1,0,0,3,3,0,1,2
101,3,2,2,3,0,0,1,1,1,1,2,0,0,4,2,2,4,2,1,1,2
103,1,2,3,3,0,0,1,1,1,1,2,1,0,2,2,2,4,2,2,1,2
112,1,2,3,2,0,0,1,1,1,1,5,1,0,2,2,3,1,2,0,1,1
113,3,2,3,2,3,0,1,1,1,1,2,0,2,2,2,2,1,2,1,1,2
117,2,1,3,3,1,0,1,1,1,1,4,3,1,2,2,1,1,2,2,1,2
119,3,1,3,3,0,0,1,1,1,1,0,0,1,2,2,2,1,3,2,1,2
121,3,2,3,3,0,0,1,1,1,1,3,0,0,2,2,5,1,2,1,1,2
122,1,2,3,2,0,1,1,1,1,1,1,0,2,3,2,2,4,2,1,1,2
124,4,2,3,2,1,0,1,1,1,1,2,1,0,3,2,2,2,3,1,1,1
125,3,2,2,2,1,0,1,1,1,1,3,0,1,3,2,2,2,2,2,1,2
127,3,2,2,2,1,1,1,1,1,1,3,0,1,2,1,3,4,2,2,1,2
130,2,1,2,2,0,0,1,1,1,1,5,0,1,3,2,2,3,3,2,1,2
131,2,1,2,2,0,0,1,1,1,1,4,2,1,2,2,2,2,2,1,1,1
133,1,2,2,2,1,0,1,1,1,1,0,1,0,1,2,2,4,3,1,1,2
135,3,2,3,3,0,0,1,1,1,1,2,0,1,2,2,6,2,3,2,1,2
136,3,2,1,1,0,0,0,1,1,1,3,2,0,2,2,6,2,2,2,1,1
138,1,1,3,1,0,1,1,1,1,1,1,0,0,1,2,6,1,3,0,1,1
141,2,2,2,2,1,0,1,1,1,1,2,0,0,3,2,2,1,2,2,1,2
142,3,2,3,3,0,0,1,1,1,1,3,0,0,2,0,0,1,2,2,1,1
145,3,1,2,2,2,0,1,1,1,1,5,1,0,2,2,5,2,3,0,1,2
146,1,1,3,3,0,0,1,1,1,1,4,3,0,2,0,0,1,2,0,1,2
147,4,1,1,1,0,0,0,1,1,1,3,1,1,3,2,1,4,2,1,1,2
152,4,1,3,1,0,0,1,1,1,1,3,1,0,3,2,1,2,2,0,1,2
154,1,2,2,2,0,0,1,1,1,1,5,1,0,2,2,3,3,3,2,1,1
160,3,2,1,1,0,0,0,1,1,1,3,0,0,2,2,3,2,2,2,1,2
162,3,2,3,2,0,0,0,1,1,1,2,1,0,3,2,1,4,2,1,1,2
164,1,2,2,2,0,0,1,1,1,1,3,3,1,2,2,0,1,3,2,1,1
165,4,2,3,3,0,0,1,1,1,1,3,2,0,3,2,3,1,2,2,1,2
168,3,2,2,3,0,0,1,1,1,1,2,0,0,3,2,2,4,2,2,1,2
172,4,2,2,2,0,0,1,1,1,1,5,0,1,3,2,2,4,3,2,1,1
174,1,2,3,3,0,0,1,1,1,1,3,0,1,2,0,0,1,2,1,1,2
175,2,2,1,1,0,0,1,1,1,1,4,0,0,2,2,6,3,2,2,1,2
181,1,1,2,2,0,0,1,1,1,1,4,0,0,1,2,0,2,3,2,1,1
182,1,1,2,2,0,0,1,1,1,1,0,0,0,2,2,2,1,3,2,1,2
183,1,2,2,2,0,1,1,1,1,1,1,0,0,2,2,6,1,3,2,1,2
184,1,2,2,3,0,1,1,1,1,1,1,1,0,3,2,0,1,3,3,1,2
185,3,1,3,2,0,0,1,1,1,1,5,0,0,1,0,0,3,3,2,1,2
187,1,1,2,2,0,0,1,1,1,1,4,0,1,1,2,3,1,3,3,1,2
188,4,2,2,2,0,1,1,1,1,1,1,0,0,3,2,3,2,2,2,1,2
189,1,1,1,1,0,0,1,1,1,1,4,0,0,1,2,0,2,3,0,1,2
190,1,2,1,1,0,0,1,1,1,1,2,0,1,2,2,0,2,2,2,1,2
191,4,2,1,1,0,0,1,1,1,1,4,0,0,3,2,2,4,2,2,1,2
193,3,2,2,3,0,0,1,1,1,1,3,0,0,3,2,2,1,2,2,1,2
195,3,2,2,2,0,1,1,1,1,1,1,2,1,3,2,2,4,3,2,1,1
197,3,2,1,1,1,0,0,1,1,1,4,0,0,2,2,1,2,2,2,1,2
198,1,2,2,2,0,0,1,1,1,1,4,0,0,1,2,2,2,2,3,1,2
199,1,2,3,3,0,1,1,1,1,1,1,0,2,1,2,6,4,2,0,1,2
204,4,1,1,1,0,0,1,1,1,1,0,0,0,3,2,0,2,2,2,1,2
206,4,1,2,2,0,0,1,1,1,1,5,1,0,3,2,2,4,3,2,1,2
207,4,2,2,2,0,0,1,1,1,1,0,0,1,1,2,0,3,3,0,1,1
208,1,1,2,2,0,0,1,1,1,1,4,0,2,3,2,0,2,3,0,1,2
209,3,2,2,2,0,1,1,1,1,1,0,1,0,2,2,2,3,3,3,1,2
210,4,2,2,2,0,1,1,1,1,1,1,0,1,2,2,2,3,2,2,1,2
211,1,1,2,2,0,0,1,1,1,1,4,0,0,2,2,2,1,3,2,1,2
213,1,2,2,3,0,1,1,1,1,1,1,0,0,2,2,6,3,3,3,1,2
214,1,2,1,1,1,1,1,1,1,1,0,3,2,1,2,6,1,2,3,2,2
215,3,2,1,1,0,0,1,1,1,1,4,1,0,2,2,2,4,3,2,1,2
217,1,2,3,2,0,0,1,1,1,1,4,0,0,1,0,0,1,3,2,1,2
218,4,1,2,2,0,0,1,1,1,1,0,1,0,3,2,0,4,3,2,1,2
221,1,1,2,3,0,0,1,1,1,1,3,1,0,1,2,0,1,2,3,1,2
222,4,2,2,2,0,0,1,1,1,1,3,2,0,3,2,2,1,2,3,1,2
224,3,2,2,2,0,0,0,1,1,1,3,0,0,2,0,0,4,2,0,1,2
225,1,2,1,3,0,0,1,1,1,1,4,0,0,2,2,2,4,3,3,1,2
226,2,2,3,1,0,0,1,1,1,1,3,0,1,2,2,3,3,3,2,1,1
227,3,2,2,2,0,0,1,1,1,1,3,0,0,2,2,2,1,3,2,1,2
228,2,2,2,2,0,1,1,1,1,1,0,0,1,2,2,5,2,2,3,1,2
229,3,2,1,1,0,0,1,1,1,1,4,0,0,2,2,0,2,3,2,1,2
231,3,2,1,1,0,0,1,0,1,1,2,1,0,2,2,0,2,2,3,1,1
232,3,1,1,1,0,1,1,1,1,1,0,0,0,2,2,2,4,3,3,3,2
233,4,1,1,1,0,1,1,1,1,1,2,0,1,3,2,6,2,3,2,1,1
234,1,2,1,1,0,0,1,1,1,1,3,0,1,1,2,0,2,2,2,2,2
235,3,2,1,3,0,0,1,1,1,1,4,1,0,2,2,4,1,3,2,1,2
